id,name,latitude,longitude,country_code,timezone,address
5e2c2b16-7f72-11f0-bcef-325096b39f47,Brolo-Ficarra,38.159074,14.830232,IT,Europe/Rome,"Brolo, Via Libertà, 98061 Brolo ME, Italy"
5e2c2b5c-7f72-11f0-b23d-325096b39f47,Bromölla station,56.067249,14.480759,SE,Europe/Stockholm,"Bromölla Fotvård, Bruksgatan, 295 21 Bromölla, Sweden"
5e2c2b98-7f72-11f0-94ee-325096b39f47,Brünig-Hasliberg,46.7578580000,8.1390490000,CH,Europe/Zurich,"Brünig-Hasliberg, 643, 3860 Meiringen, Switzerland"
5e2c2bd4-7f72-11f0-899f-325096b39f47,Brunnen,46.9991650000,8.6100650000,CH,Europe/Zurich,"Brunnen, SZ, Switzerland"
5e2c2c10-7f72-11f0-978c-325096b39f47,Bruxelles-Midi,50.835374,4.335695,BE,Europe/Brussels,"Brussels-Midi, Galerie M - M-galerij, 1060 Saint-Gilles - Sint-Gillis, Belgium"
5e2c2c4c-7f72-11f0-a92f-325096b39f47,Bubikon Bahnhof,47.270657,8.822597,CH,Europe/Zurich,"Bubikon Bahnhof, Ritterhausstrasse, 8608 Bubikon, Switzerland"
5e2c2c88-7f72-11f0-a3e5-325096b39f47,Buchs SG,47.1683950000,9.4786300000,CH,Europe/Zurich,"Buchs (SG), St. Gallen, Switzerland"
5e2c2cce-7f72-11f0-a18b-325096b39f47,Budapest-Keleti,47.500385,19.085069,HU,Europe/Budapest,"Budapest Keleti Station, Budapest, Baross tér 1, 1087, Hungary"
5e2c2d0a-7f72-11f0-a540-325096b39f47,Bulle,46.6181480000,7.0549320000,CH,Europe/Zurich,"Bulle, FR, Switzerland"
5e2c2d46-7f72-11f0-a8ed-325096b39f47,Burnley Central,53.793776,-2.244644,GB,Europe/London,"Burnley, LAN, ENG, United Kingdom"
5e2c2d82-7f72-11f0-8cf6-325096b39f47,Buzançais,46.885150209934600,1.4185291528701800,FR,Europe/Paris,"Buzançais, CVL, France"
5e2c2dbe-7f72-11f0-b8da-325096b39f47,Cagnes-sur-Mer,43.65813,7.14864,FR,Europe/Paris,"Cagnes-sur-Mer, PAC, France"
5e2c2dfa-7f72-11f0-ae42-325096b39f47,Cahors,44.449275,1.433325,FR,Europe/Paris,"Cahors (Cahors), LO, France"
5e2c2e36-7f72-11f0-b8c7-325096b39f47,Calais Ville,50.952613,1.848185,FR,Europe/Paris,"Calais-Ville, Quai du Rhin, 62100 Calais, France"
5e2c2e72-7f72-11f0-bd3f-325096b39f47,Cannes,43.553839,7.019682,FR,Europe/Paris,"Cannes, PAC, France"
5e2c2eae-7f72-11f0-9154-325096b39f47,Canterbury West,51.284279,1.074608,GB,Europe/London,"St Thomas of Canterbury, Harper's Hill, West Devon, EX20 3NR, United Kingdom"
5e2c2eea-7f72-11f0-90dc-325096b39f47,Capvern,43.1033454,0.3296393,FR,Europe/Paris,"Capvern, OCC, France"
5e2c2f26-7f72-11f0-8a5b-325096b39f47,Carhaix,48.2780022,-3.5622173,FR,Europe/Paris,"Carhaix-Plouguer, Rue Louis Pasteur, 29270 Carhaix-Plouguer, France"
5e2c2f62-7f72-11f0-b94e-325096b39f47,Carignan,49.6285736,5.1684754,FR,Europe/Paris,"Carignan, GES, France"
5e2c2f9e-7f72-11f0-9778-325096b39f47,Carnac,47.584558972342400,-3.0826091766357400,FR,Europe/Paris,"Carnac, BRE, France"
5e2c2fda-7f72-11f0-acba-325096b39f47,Catania Centrale,37.506574,15.10016,IT,Europe/Rome,"Catania, Via D'Amico, 95129 Catania CT, Italy"
5e2c3016-7f72-11f0-98c0-325096b39f47,Catanzaro (Germaneto),38.896126,16.599354,IT,Europe/Rome,"Catanzaro, Viale Europa, 88100 Catanzaro CZ, Italy"
5e2c3052-7f72-11f0-ac7b-325096b39f47,Catford Station,51.444706,-0.025701,GB,Europe/London,"Catford Police Station, Bromley Road, London, SE6 2RH, United Kingdom"
5e2c3098-7f72-11f0-8978-325096b39f47,Cattolica-San Giovanni-Gabicce,43.959903,12.745022,IT,Europe/Rome,"Cattolica-San Giovanni-Gabicce, Via Nazario Sauro, 61011 Cattolica RN, Italy"
